Home Team,Away Team,Opening Home Line,Model Favorite,Model Line,Pick,Point Difference,Confidence
BYU,VCU,-3.5,BYU,-0.44,VCU,3,Medium
Texas A&M,Yale,-7.5,Texas A&M,-9.19,Texas A&M,2,Low
Louisville,Creighton,-1.5,Louisville,-2.78,Louisville,1,Very Low
Purdue,High Point,-10.5,Purdue,-9.95,High Point,1,Very Low
Clemson,McNeese,-7.5,Clemson,-6.53,McNeese,1,Very Low
Tennessee,Wofford,-18.5,Tennessee,-17.32,Wofford,1,Very Low
Kansas,Arkansas,-4.5,Kansas,-3.82,Arkansas,1,Very Low
Missouri,Drake,-4.5,Missouri,-5.48,Missouri,1,Very Low
Michigan,UC San Diego,-3.5,Michigan,-2.54,UC San Diego,1,Very Low
Texas Tech,UNC Wilmington,-15.5,Texas Tech,-14.91,UNC Wilmington,1,Very Low
Wisconsin,Montana,-17.5,Wisconsin,-17.88,Wisconsin,0,Very Low
Gonzaga,Georgia,-4.5,Gonzaga,-4.89,Gonzaga,0,Very Low
UCLA,Utah State,-5.5,UCLA,-5.15,Utah State,0,Very Low
