rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
1,Duke,ACC,31-3,38.15,128.0,89.8,65.8,-0.019,9.98,112.4,102.4,9.26
2,Florida,SEC,29-4,35.83,127.9,92.1,69.6,0.003,13.79,114.3,100.5,-2.08
3,Houston,B12,30-4,35.44,123.3,87.8,61.5,0.015,13.62,113.6,99.9,2.52
4,Auburn,SEC,28-5,35.04,128.5,93.5,67.7,0.03,18.92,117.0,98.1,10.01
5,Tennessee,SEC,27-6,31.44,120.0,88.5,63.6,0.026,15.17,116.2,101.0,-0.92
6,Alabama,SEC,25-8,29.91,126.6,96.7,74.9,0.029,19.43,118.2,98.8,11.71
7,Texas Tech,B12,25-8,28.06,125.3,97.3,65.5,-0.045,11.21,111.9,100.7,-4.67
8,Michigan State,B10,27-6,27.57,118.1,90.5,67.8,-0.009,13.29,114.3,101.0,0.27
9,Gonzaga,WCC,25-8,27.29,123.6,96.3,70.2,-0.074,6.96,110.8,103.8,8.83
10,Iowa State,B12,24-9,27.0,119.5,92.5,68.6,-0.048,12.59,113.4,100.8,-0.93
11,Wisconsin,B10,26-8,26.44,123.3,96.8,67.8,-0.024,13.48,114.1,100.6,-0.18
12,St. John's,BE,30-4,26.38,113.9,87.6,70.2,-0.019,9.06,111.8,102.7,-0.06
13,Maryland,B10,25-8,26.33,118.1,91.8,69.9,-0.038,10.89,113.1,102.2,-10.52
14,Arizona,B12,22-12,25.74,122.6,96.8,69.9,-0.049,16.36,115.3,98.9,5.07
15,Missouri,SEC,22-11,24.39,125.4,101.0,68.3,-0.048,12.97,113.7,100.7,-9.46
16,Kentucky,SEC,22-11,24.26,123.9,99.6,71.0,0.007,17.79,116.8,99.0,3.66
17,Texas A&M,SEC,22-10,24.07,116.3,92.2,66.2,0.001,16.09,115.5,99.4,6.99
18,Clemson,ACC,27-6,23.92,118.7,94.8,64.3,-0.032,8.24,111.5,103.2,3.6
19,Purdue,B10,22-11,23.8,124.2,100.4,65.0,-0.007,15.63,115.4,99.8,10.24
20,Illinois,B10,21-12,23.59,121.6,98.0,71.4,-0.018,15.91,115.0,99.1,3.31
21,Kansas,B12,21-12,23.26,116.0,92.8,68.4,-0.024,15.44,114.8,99.4,8.54
22,Saint Mary's,WCC,28-5,23.09,115.3,92.2,61.8,0.005,5.31,111.0,105.7,5.09
23,Louisville,ACC,27-7,22.65,118.2,95.5,68.8,0.058,10.29,112.6,102.3,7.02
24,BYU,B12,24-9,22.4,123.0,100.7,67.3,0.036,11.08,111.8,100.8,-7.74
25,Mississippi,SEC,22-11,22.07,117.9,95.8,68.1,0.018,15.74,115.1,99.4,-0.69
26,Michigan,B10,24-9,21.82,116.8,95.0,69.6,0.064,14.41,114.1,99.7,3.66
27,UCLA,B10,22-10,21.79,116.8,95.0,65.0,-0.008,12.52,113.7,101.2,-5.21
28,Marquette,BE,23-10,21.59,117.7,96.1,67.6,-0.013,12.46,113.1,100.6,8.68
29,Baylor,B12,19-14,21.16,120.9,99.7,64.6,-0.054,15.64,113.7,98.1,7.59
30,VCU,A10,27-6,20.7,116.3,95.5,66.2,-0.059,0.93,106.9,106.0,-4.11
31,Oregon,B10,24-9,20.15,116.6,96.5,67.7,0.085,14.11,114.4,100.3,4.21
32,Mississippi State,SEC,21-12,20.09,118.8,98.7,68.2,0.012,14.73,115.0,100.3,0.52
