Home Team,Away Team,Opening Line,Opening Total
Louisville,Creighton,-1.5,u144.5
Purdue,High Point,-10.5,u152.5
Wisconsin,Montana,-17.5,u148.5
Houston,SIU Edwardsville,+127.5,u127.5
Clemson,McNeese,-7.5,u133.5
BYU,VCU,-3.5,u142.5
Gonzaga,Georgia,-4.5,u150.5
Tennessee,Wofford,-18.5,u133.5
Kansas,Arkansas,-4.5,u144.5
Texas A&M,Yale,-7.5,u140.5
Missouri,Drake,-4.5,u132.5
UCLA,Utah State,-5.5,u144.5
St. John's,Omaha,-17.5,u145.5
Michigan,UC San Diego,-3.5,u140.5
Texas Tech,UNC Wilmington,-15.5,u142.5
